product_id,product_name,userID,userName,reviewTitle,positvity,publicScore,category
680,"JBL Commercial CSLM20B Auxiliary Omnidirectional Lavalier Microphone with Battery for Content Creation, Voiceover/Dubbing, Recording (Black,Small)",506,Biman,Good for beginners,0.8094,0.5984378478114116,Computers&Accessories
472,Cuzor 12V Mini ups for WiFi Router | Power Backup up to 4 Hours | Replaceable Battery | Ups for Wi-Fi Router and Modem | Ups for Router up to 2A | ups for uninterrupted wi-fi,2813,Johny Depp,Shandaar Jabardast Zindaabad,0.0717,0.5974825460981272,Computers&Accessories
323,SanDisk Ultra 128 GB USB 3.0 Pen Drive (Black),8268,Dhinesh Sridhar,some glich happening otherwise good,0.9065,0.5969013247033801,Computers&Accessories
84,"Logitech K480 Wireless Multi-Device Keyboard for Windows, macOS, iPadOS, Android or Chrome OS, Bluetooth, Compact, Compatible with PC, Mac, Laptop, Smartphone, Tablet - Black",1807,Preet Shah,Easy to use,0.801,0.5967402382538525,Computers&Accessories
192,"Logitech M221 Wireless Mouse, Silent Buttons, 2.4 GHz with USB Mini Receiver, 1000 DPI Optical Tracking, 18-Month Battery Life, Ambidextrous PC / Mac / Laptop - Charcoal Grey",8164,Takreem R.,Very good product,0.9607,0.5963423249782007,Computers&Accessories
295,Crucial BX500 240GB 3D NAND SATA 6.35 cm (2.5-inch) SSD (CT240BX500SSD1),2077,Tejas,The Best,0.7402,0.596171611329221,Computers&Accessories
1159,"AmazonBasics USB C to Lightning Aluminum with Nylon Braided MFi Certified Charging Cable (Grey, 1.2 meter)",2196,Wraith,Good,0.6098,0.5948866911344488,Computers&Accessories
636,"Logitech G102 USB Light Sync Gaming Mouse with Customizable RGB Lighting, 6 Programmable Buttons, Gaming Grade Sensor, 8K DPI Tracking, 16.8mn Color, Light Weight - Black",2011,RAJ ROY., precise & liggt weight,0.0942,0.5948180559556977,Computers&Accessories
462,"Zebronics, ZEB-NC3300 USB Powered Laptop Cooling Pad with Dual Fan, Dual USB Port and Blue LED Lights",6265,Placeholder,Good product..but fan speed is little slow,0.476,0.5941790120876915,Computers&Accessories
995,Amazon Brand - Solimo 3A Fast Charging Tough Type C USB Data Cable  – 1 Meter,8166,Bobby,Very nice product,0.9692,0.5919291295070221,Computers&Accessories
322,"Wayona Nylon Braided Usb Syncing And Charging Cable Sync And Charging Cable For Iphone, Ipad (3 Ft, Black) - Pack Of 2",1512,Anand,Good Product,0.829,0.5914200519015593,Computers&Accessories
511,"HP GK320 Wired Full Size RGB Backlight Mechanical Gaming Keyboard, 4 LED Indicators, Mechanical Switches, Double Injection Key Caps, and Windows Lock Key(4QN01AA)",7312,Govind S.,Very good performance,0.9624,0.5911824166293473,Computers&Accessories
981,Western Digital WD Green SATA 240GB Internal SSD Solid State Drive - SATA 6Gb/s 2.5 inches - WDS240G3G0A,1107,SHAHID SHAIKH,WD not interrupt,0.1174,0.5909402296664954,Computers&Accessories
528,TABLE MAGIC Multipurpose Laptop Table Mat Finish Top Work at Home Study Table (TM Regular- Black) (Alloy Steel),7472,Saikumar,2 problems i noticed,0.0191,0.5903059994280819,Computers&Accessories
821,"Ambrane Fast 100W Output Cable with Type-C to Type-C for Mobile, Laptop, Macbook & Table Charging, 480mbps Data Sync Speed, Braided Cable, 1.5m Length (ABCC-100, Black-Grey)",4615,Shivam thakur,Good for charging Not good for data transfer,0.143,0.5901602785603894,Computers&Accessories
350,"TP-Link AC1300 USB WiFi Adapter (Archer T3U) - 2.4G/5G Dual Band Mini Wireless Network Adapter for PC Desktop, MU-MIMO Wi-Fi Dongle, USB 3.0, Supports Windows 11,10, 8.1, 8, 7, XP/Mac OS 10.15 and earlier",850,DEEPAK,Booster speed,0.2107,0.590153234944675,Computers&Accessories
349,"Wayona Usb Nylon Braided Data Sync And Charging Cable For Iphone, Ipad Tablet (Red, Black)",1512,Anand,Good Product,0.829,0.5876189208932128,Computers&Accessories
1160,"AmazonBasics USB C to Lightning Aluminum with Nylon Braided MFi Certified Charging Cable (Grey, 1.8 meter)",2508,Krishna Engineering,Worth to buy,0.2542,0.5873782612253551,Computers&Accessories
603,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Mercurial Black)",4767,Himanshu Goel,Fine product but could be better,0.533,0.5871451295128267,Computers&Accessories
487,Zinq Five Fan Cooling Pad and Laptop Stand with Dual Height Adjustment and Dual USB Port Extension (Black),3550,Charan Teja,Nice performance,0.9379,0.5867312376512899,Computers&Accessories
689,"Tabelito® Polyester Foam, Nylon Hybrid laptopss Bag Sleeve Case Cover Pouch for laptopss Apple/Dell/Lenovo/ Asus/ Hp/Samsung/Mi/MacBook/Ultrabook/Thinkpad/Ideapad/Surfacepro (15.6 inches /39.6cm, Blue) laptopsss",3215,Naveenkumar.K,Ha,0.165,0.5866061433145813,Computers&Accessories
514,"Belkin Apple Certified Lightning to USB Charge and Sync Cable for iPhone, iPad, Air Pods, 39.6 inch (100cm) – Black",2081,Dilip,Built well but there are flaws.,0.0705,0.5854460523940248,Computers&Accessories
45,TP-Link TL-WA855RE 300 Mbps Wi-Fi Range Extender (White),3590,Basim,Good wifi extender,0.785,0.5854016365828212,Computers&Accessories
506,"Scarters Mouse Pad, Desk Mat Extended for Work from Home/Office/Gaming | Vegan PU Leather | Anti-Skid, Anti-Slip, Reversible Splash-Proof – Deskspread ~ Navy Blue & Yellow",3193,Bhavneet Singh,Nice deal! Go for it,0.9739,0.5847929488353343,Computers&Accessories
139,"boAt LTG 500 Apple MFI Certified for iPhone, iPad and iPod 2Mtr Data Cable(Metallic Silver)",529,Placeholder,Great one compare to original cable,0.8272,0.5843189693899047,Computers&Accessories
950,"Portronics Konnect L 60W PD Type C to Type C Mobile Charging Cable, 1.2M, Fast Data Sync, Tangle Resistant, TPE+Nylon Braided(Grey)",7589,RaKesh,Best cable,0.7716,0.5832882054422053,Computers&Accessories
951,"Wayona Type C To Type C Long Fast Charging Cable Type C Charger Cord Compatible With Samsung S22 S20 S20 Fe 2022 S22 Ultra S21 Ultra A70 A51 A53 A33 A73 M51 M31 M33 M53 (Grey, 2M, 65W, 6Ft)",439,RAKESH SWAIN,Gud product.,0.7164,0.5832882054422053,Computers&Accessories
263,Portronics My buddy plus Adjustable Laptop cooling Table (Brown),1030,Pranav,Laptop Table.,0.1458,0.5832014399284449,Computers&Accessories
520,"SanDisk Ultra Dual Drive Luxe USB Type C Flash Drive (Silver, 128 GB, 5Y - SDDDC4-128G-I35)",6698,Ramamoorthy,superb,0.6817,0.5822427042080998,Computers&Accessories
183,HP v222w 64GB USB 2.0 Pen Drive (Silver),1160,M Badrinath Sarangapani,Pendrive,0.2335,0.5787382590560637,Computers&Accessories
883,"Skadioo WiFi Adapter for pc | Car Accessories, WiFi Dongle for pc | USB WiFi Adapter for pc | Wi-Fi Receiver 2.4GHz, 802.11b/g/n UNano Size WiFi Dongle Compatible Adapter,WiFi dongle for pc",3966,sandeep kumar,Working fine,0.6144,0.5765360931739332,Computers&Accessories
142,"RESONATE RouterUPS CRU12V2A | Zero Drop | UPS for WiFi Router | Mini UPS | Up to 4 Hours PowerBackup | Battery Replacement Program | Router UPS Compatible with 12V <2A Routers, FTTH, Modem, Set Top Box, Alexa, Mini Camera",1824,JAYASHANKAR VB,12V2A RouterUPS,0.1339,0.5749960580136404,Computers&Accessories
625,"Airtel AMF-311WW Data Card (Black), 4g Hotspot Support with 2300 Mah Battery",8401,MANASH,Good,0.6098,0.5742464128579998,Computers&Accessories
